movie_id,rank,title,m_runtime,year,rating,votes
tt2935510,57,Ad Astra,2h 3m,2019,6.5,266000
tt1051906,58,The Invisible Man,2h 4m,2020,7.1,264000
tt2704998,59,Game Night,1h 40m,2018,6.9,261000
tt3281548,60,Little Women,2h 15m,2019,7.8,257000
tt5164214,61,Ocean's Eight,1h 50m,2018,6.3,248000
tt6806448,62,Fast & Furious Presents: Hobbs & Shaw,2h 17m,2019,6.5,243000
tt5083738,63,The Favourite,1h 59m,2018,7.5,242000
tt1365519,64,Tomb Raider,1h 59m,2018,6.3,231000
tt7846844,65,Enola Holmes,2h 3m,2020,6.6,227000
tt5606664,66,Doctor Sleep,2h 32m,2019,7.3,227000
tt9620292,67,Promising Young Woman,1h 53m,2020,7.5,219000
tt6499752,68,Upgrade,1h 40m,2018,7.5,216000
tt3741700,69,Godzilla: King of the Monsters,2h 12m,2019,6.0,215000
tt4779682,70,The Meg,1h 53m,2018,5.7,214000
tt6565702,71,X-Men: Dark Phoenix,1h 53m,2019,5.7,213000
tt1560220,72,Zombieland: Double Tap,1h 39m,2019,6.7,210000
tt3766354,73,The Equalizer 2,2h 1m,2018,6.7,207000
tt1213641,74,First Man,2h 21m,2018,7.3,207000
tt2873282,75,Red Sparrow,2h 20m,2018,6.6,205000
tt1028856,76,Another Round,1h 57m,2020,7.7,204000
tt1027238,77,The Father,1h 37m,2020,8.2,203000
tt8106534,78,6 Underground,2h 8m,2019,6.1,202000
tt4520988,79,Frozen II,1h 43m,2019,6.8,201000
tt2066051,80,Rocketman,2h 1m,2019,7.3,200000
tt6450804,81,Terminator: Dark Fate,2h 8m,2019,6.2,198000
tt7798634,82,Ready or Not,1h 35m,2019,6.9,198000
tt4729430,83,Klaus,1h 36m,2019,8.2,197000
tt1070874,84,The Trial of the Chicago 7,2h 9m,2020,7.7,197000
tt3104988,85,Crazy Rich Asians,2h,2018,6.9,196000
tt5104604,86,Isle of Dogs,1h 41m,2018,7.8,196000
tt4701182,87,Bumblebee,1h 54m,2018,6.7,194000
tt9484998,88,Palm Springs,1h 30m,2020,7.4,192000
tt2231461,89,Rampage,1h 47m,2018,6.1,190000
tt5848272,90,Ralph Breaks the Internet,1h 52m,2018,7.0,190000
tt9770150,91,Nomadland,1h 47m,2020,7.3,188000
tt7556122,92,The Old Guard,2h 5m,2020,6.7,188000
